1. Crater name ,2. Diameter [km],3. Latitude [°],4. Longitude [°],5. East longitude [°],6. Radius [km],7. Radius [m],8. Apparent diameter [km],9. Transient cavity diameter [km],10. Transient cavity diameter [km],11. Floor diameter [km],12. Measured rim to floor depth [km],13. Rim to floor depth [km],14. Apparent depth [km],15. Transient cavity depth [km] ,16. Interior volume [km^3],17. Rim height [km],18. Rim flank width [km],19. Measured height of central peak [km],20. Height of central peak [km],21. Diameter of central peak [km],22. Basal area of central peak [km^2],23. Maximum diameter of ejecta blocks [km],24. Maximum diameter of ejecta blocks [km] ,25. Thickness of ejecta in the distance equal to one radius [m] ,26. Thickness of ejecta in the distance equal to two radii [m],27. Thickness of ejecta in the distance equal to three radii [m],28. Thickness of ejecta in the distance equal to four radii [m],29. Thickness of ejecta in the distance equal to five radii [m],"30. Thickness of ejecta in the distance of 10,000 m outside the rim [m]","31. Thickness of ejecta in the distance of 10,000 m outside the rim [m]","32. Thickness of ejecta in the distance of 10,000 m outside the rim [m]","33. Thickness of ejecta in the distance of 10,000 m outside the rim [m]",34. Radial distance of continuous ejecta [km],35. Radial distance of continuous ejecta [km],36. Radius of ejecta blanket thicker than 10 m [km],37. Radius of ejecta blanket thicker than 10 m [km] minimum,38. Radius of ejecta blanket thicker than 10 m [km] best estimate,39. Radius of ejecta blanket thicker than 10 m [km] maximum,40. Radius of radar-bright halo [km],41. Measured radius of radar-bright halo [km],42. Radius of radar-dark halo [km],43. Measured radius of radar-dark halo [km],44. Depth of excavation [km],45. Depth of excavation [km],46. Depth of melting [km],47. Depth of melting [km],48. Melt volume [km^3] ,"49. Melt volume, 45° on basalt [km^3] ","50. Melt volume, 45° on anorthosite [km^3] ",51. Age,52. Age class,53. Remarks,54. Age - source ,55. Age - other sources,56. Basin age group,"57. Citation for first mention, citation for nomenclature from ",58. Approval,59. Peak lithology,60. Ol [vol.-%],61. Opx [vol.-%],62. Cpx [vol.-%],63. Plg [vol.-%],64. Mafics/Plg,65. Opx/Cpx,66. Plg [wt.-%],67. Ol [wt.-%],68. Opx [wt.-%],69. Cpx [wt.-%],70. FeO [wt.-%],71. Peak lithologies,72. Setting,73. Average CF [?m],74. Average OMAT,75. Average FeO [wt.-%],76. OMAT range,77. Plg abundance class,78. Province,79. Peak degradation,80. PAN location,81. Rays,1. Crater name 
Volkov F,9.94,-13.47,134.03,134.03,5,4970,8.25,8.35,0,1.79,,1.99,1.639,2.78,39.28,0.37,2.62,,0,0,0,0.05,0.14,198.8,24.85,7.36,3.11,1.59,7.27,21.09,23.17,6,11.78,10.01,19.2,11.68,13.46,16.43,8.95,,27.46,,0,0.83,0,0.96,0.5,0.2,0.4,,,,,,,AW82,2006,,,,,,,,,,,,,,,,,,,,,,,,Volkov F
Volkov J,30.52,-14.43,132.34,132.34,15.3,15260,26.25,27.44,18.71,13.37,,2.92,2.02,9.15,639.69,0.92,8.14,,0.5,5.33,16.05,0.1,0.29,174.57,21.82,6.47,2.73,1.4,38.49,186.67,204.39,111.03,36.42,29.92,67.01,34.55,39.59,47.9,39.6,,70.42,,3.06,2.74,3.25,4.46,48.95,16.6,38.1,,,Unapproved name Heine,,,,AW82,2006,,,,,,,,,,,,,,,,,,,,,,,,Volkov J
Wollaston,9.64,30.6,-46.98,313.02,4.8,4820,8,8.1,0,1.69,2.22,1.93,1.592,2.7,35.83,0.36,2.54,,0,0,0,0.04,0.13,192.8,24.1,7.14,3.01,1.54,6.63,19.62,21.55,5.47,11.42,9.71,18.55,11.23,12.92,15.74,8.61,,26.77,,0,0.81,0,0.92,0.45,0.2,0.3,,,,,,,M1834,1935,,,,,,,,,,,,,,,,,,,,,,,,Wollaston
Wollaston D,4.32,33.16,-48.79,311.21,2.2,2160,3.59,3.63,0,0.41,,0.86,0.748,1.21,3.22,0.16,1.13,,0,0,0,0.03,0.08,86.4,10.8,3.2,1.35,0.69,0.48,2.43,2.67,0.4,5.1,4.44,7.58,4,4.43,5.12,3.16,,13.65,,0,0.36,0,0.33,0.02,0,0,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Wollaston D
Wollaston N,5.52,28.36,-48.14,311.86,2.8,2760,4.58,4.64,0,0.63,,1.1,0.942,1.55,6.73,0.2,1.45,,0,0,0,0.03,0.09,110.4,13.8,4.09,1.73,0.88,1.12,4.77,5.25,0.92,6.52,5.64,9.97,5.48,6.15,7.21,4.29,,16.76,,0,0.46,0,0.45,0.05,0,0,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Wollaston N
Wollaston P,4,29.26,-49.94,310.06,2,2000,3.32,3.36,0,0.36,,0.79,0.696,1.12,2.56,0.15,1.04,,0,0,0,0.02,0.07,80,10,2.96,1.25,0.64,0.37,1.95,2.15,0.31,4.72,4.12,6.96,3.62,4,4.59,2.87,,12.79,,0,0.34,0,0.3,0.02,0,0,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Wollaston P
Wollaston R,5.76,29.47,-50.87,309.13,2.9,2880,4.78,4.84,0,0.68,,1.15,0.981,1.61,7.64,0.21,1.51,,0,0,0,0.03,0.09,115.2,14.4,4.27,1.8,0.92,1.29,5.34,5.88,1.06,6.81,5.88,10.45,5.79,6.5,7.66,4.53,,17.37,,0,0.48,0,0.47,0.06,0,0,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Wollaston R
Wollaston U,2.87,30.99,-52.87,307.13,1.4,1435,2.38,2.41,0,0.2,0.5,0.57,0.509,0.8,0.95,0.1,0.75,,0,0,0,0.02,0.06,57.4,7.18,2.13,0.9,0.46,0.11,0.74,0.82,0.09,3.38,2.98,4.81,2.36,2.57,2.89,1.89,,9.68,,0,0.24,0,0.19,0,0,0,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Wollaston U
Wollaston V,3.16,30.89,-53.98,306.02,1.6,1580,2.62,2.65,0,0.24,0.58,0.63,0.557,0.88,1.26,0.12,0.82,,0,0,0,0.02,0.06,63.2,7.9,2.34,0.99,0.51,0.16,0.99,1.09,0.13,3.72,3.27,5.35,2.68,2.92,3.3,2.14,,10.5,,0,0.27,0,0.22,0.01,0,0,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Wollaston V
Volta,117.15,53.9,-84.77,275.23,58.6,58575,100.75,86.07,65.77,71.73,,4.38,2.903,28.69,14301.17,1.58,25.05,,0,27.77,305.34,0,0,472.32,59.04,17.49,7.38,3.78,294.36,837,912.75,1204.66,140.93,111.18,299.97,176.22,211.73,273.78,165.33,,217.8,,9.59,8.61,18.75,19.54,3994.3,1353.7,3104.9,pre-Nectarian,1,,GHM 2,,,RLA1963 IAU1964,1964,,,,,,,,,,,,,,,,,,,,,,,,Volta
Volta B,8.28,54.53,-83.53,276.47,4.1,4140,6.87,6.96,0,1.29,,1.66,1.38,2.32,22.71,0.31,2.18,,0,0,0,0.04,0.12,165.6,20.7,6.13,2.59,1.32,4.16,13.58,14.93,3.43,9.8,8.37,15.66,9.23,10.55,12.72,7.12,,23.56,,0,0.7,0,0.76,0.25,0.1,0.2,,,,,,,RLA1963?,2006,,,,,,,,,,,,,,,,,,,,,,,,Volta B
Volta D,19.53,52.49,-83.09,276.91,9.8,9765,16.8,18.77,12.33,5.88,,2.55,1.763,6.26,228.09,0.77,5.6,,0.21,2.49,6.04,0.07,0.21,125.45,15.68,4.65,1.96,1,15.13,87.61,96.05,38.86,23.24,19.35,40.75,20.12,22.69,26.86,24.64,,48.41,,0,1.88,0,2.73,11.36,3.8,8.8,,,,,,,RLA1963?,2006,,,,,,,,,,,,,,,,,,,,,,,,Volta D
Volterra,55.1,56.55,131.64,131.64,27.6,27550,47.39,45.33,32.5,27.96,,3.49,2.417,15.11,2504.02,1.17,13.33,,0,11.7,58.53,0.14,0.42,270.28,33.79,10.01,4.22,2.16,106.75,409.5,447.57,359.06,65.99,53.25,129.43,70.67,82.68,103,74.18,,115.63,,5.05,4.53,7.98,8.53,338.38,114.7,263,Nectarian,2,"Older than Humboldtianum basin, possibly pre-Nectarian ",PC,,,IAU1970,1970,,,,,,,,,,,,,,,,,,,,,,,,Volterra
Volterra R,32.6,55.96,128.91,128.91,16.3,16300,28.04,29.02,19.9,14.52,,2.98,2.061,9.67,744.92,0.95,8.6,,0.57,5.87,18.54,0.1,0.3,183.29,22.91,6.79,2.86,1.47,43.64,206.18,225.7,128.06,38.92,31.9,72.12,37.42,42.98,52.17,42.47,,74.43,,3.23,2.9,3.67,4.79,60.74,20.6,47.2,,,,,,,AW82,2006,,,,,,,,,,,,,,,,,,,,,,,,Volterra R
Woltjer,44.5,44.87,-159.83,200.17,22.3,22250,38.27,37.8,26.62,21.41,,3.27,2.265,12.6,1528.58,1.07,11.15,,1.06,8.96,36.66,0.12,0.37,230.76,28.84,8.55,3.61,1.85,75.78,316.44,346.08,241.13,53.22,43.23,102.01,54.55,63.35,78.09,59.12,,96.65,,4.21,3.78,5.99,6.75,168.17,57,130.7,Upper Imbrian,4,Possibly Lower Imbrian ,GHM 2,,,IAU1970,1970,,,,,,,,,,,,,,,,,,,,,,,,Woltjer
Woltjer P,31.88,42.94,-161.6,198.4,15.9,15940,27.42,28.47,19.49,14.12,,2.96,2.047,9.49,707.46,0.94,8.44,,0.55,5.69,17.66,0.1,0.29,180.29,22.54,6.68,2.82,1.44,41.83,199.42,218.32,122.06,38.05,31.22,70.34,36.42,41.8,50.68,41.48,,73.05,,3.17,2.85,3.52,4.68,56.46,19.1,43.9,,,,,,,AW82,2006,,,,,,,,,,,,,,,,,,,,,,,,Woltjer P
Woltjer T,13.93,44.74,-165.05,194.95,7,6965,11.56,11.7,0,3.24,,2.8,2.252,3.9,0,0.52,3.69,,0,0,0,0.06,0.17,278.6,34.83,10.32,4.35,2.23,19.28,44.77,49.13,15.91,16.55,13.91,27.96,18.02,21.11,26.36,13.65,,36.46,,0,1.17,0,1.48,1.84,0.6,1.4,,,,,,,AW82,2006,,,,,,,,,,,,,,,,,,,,,,,,Woltjer T
von Baeyer,13.46,-81.8,61.87,61.87,6.7,6730,11.17,11.31,0,3.05,,2.71,2.18,3.77,0,0.5,3.56,,0,0,0,0.055,0.166,269.2,33.65,9.97,4.21,2.15,17.52,41.62,45.68,14.46,15.98,13.46,26.91,17.24,20.17,25.12,13.08,,35.42,,0,1.13,0,1.42,1.61,0.5,1.3,,,,,,,IAU2009,22-Jan-09,,,,,,,,,,,,,,,,,,,,,,,,von Baeyer
von Behring,37.65,-7.75,71.72,71.72,18.8,18825,32.38,32.8,22.77,17.38,,3.11,2.153,10.93,1038.95,1,9.7,,0.76,7.18,25.42,0.11,0.33,203.91,25.49,7.55,3.19,1.63,56.8,253.45,277.33,173.04,44.99,36.72,84.67,44.55,51.43,62.88,49.5,,83.99,,3.65,3.28,4.67,5.61,97.31,33,75.6,,,,,,,IAU1979,1979,,,,,,,,,,,,,,,,,,,,,,,,von Behring
von Bekesy,96.25,51.92,126.73,126.73,48.1,48125,82.78,72.83,54.74,56.12,,4.13,2.846,24.28,9083.07,1.46,21.25,,0,22.36,198.56,0.2,0.61,408.4,51.05,15.13,6.38,3.27,231.8,712.59,777.53,901.38,115.65,91.78,240.98,138.89,165.73,212.23,134.18,,184.68,,8.12,7.28,15.25,15.75,2099.71,711.6,1632.2,pre-Nectarian,1,,W&B09,,,IAU1979,1979,,,,,,,,,,,,,,,,,,,,,,,,von Bekesy
von Bekesy F,19.16,52.8,137.04,137.04,9.6,9580,16.48,18.47,12.11,5.69,,2.54,1.753,6.16,218.23,0.77,5.51,,0.2,2.39,5.79,0.07,0.21,123.69,15.46,4.58,1.93,0.99,14.49,84.53,92.69,37.03,22.8,18.99,39.89,19.65,22.16,26.2,24.15,,47.64,,0,1.85,0,2.67,10.67,3.6,8.3,,,,,,,AW82,2006,,,,,,,,,,,,,,,,,,,,,,,,von Bekesy F
von Bekesy T,30.35,52,121.73,121.73,15.2,15175,26.1,27.31,18.61,13.28,,2.92,2.016,9.1,631.49,0.92,8.1,,0.5,5.29,15.86,0.09,0.28,173.85,21.73,6.44,2.72,1.39,38.08,185.08,202.65,109.68,36.22,29.75,66.59,34.31,39.31,47.55,39.37,,70.09,,3.04,2.73,3.22,4.43,48.07,16.3,37.4,,,,,,,AW82,2006,,,,,,,,,,,,,,,,,,,,,,,,von Bekesy T
von Braun,61.83,41.04,-78.08,281.92,30.9,30915,53.17,50,36.2,32.29,,3.61,2.723,16.67,3267.74,1.22,14.68,,0,13.44,75.33,0.15,0.45,294.34,36.79,10.9,4.6,2.35,126.97,465.32,508.4,440.09,74.1,59.59,147.16,81.25,95.45,119.59,83.84,,127.37,,5.57,5,9.21,9.68,493.38,167.2,383.5,Nectarian,2,Formerly Lavoisier D; partly covered by Imbrian ejecta ,PC,,,IAU1994,1994,,,,,,,,,,,,,,,,,,,,,,,,von Braun
Von der Pahlen,53.89,-24.84,-133.01,226.99,26.9,26945,46.35,44.48,31.83,27.2,,3.47,2.401,14.83,2378.82,1.16,13.09,,0,11.39,55.75,0.14,0.42,265.88,33.23,9.85,4.15,2.13,103.15,399.19,436.33,344.95,64.53,52.11,126.27,68.79,80.42,100.08,72.45,,113.5,,4.96,4.45,7.76,8.32,314.66,106.6,244.6,Nectarian,2,,PC,,,IAU1970,1970,,,,,,,,,,,,,,,8.15,0.24,6.38,,,,,,,Von der Pahlen
Von der Pahlen E,32.46,-24.52,-128.91,231.09,16.2,16230,27.92,28.91,19.82,14.44,,2.98,2.058,9.64,737.55,0.95,8.57,,0.57,5.84,18.37,0.1,0.3,182.71,22.84,6.77,2.85,1.46,43.28,204.86,224.26,126.88,38.75,31.77,71.77,37.22,42.75,51.88,42.28,,74.16,,3.22,2.89,3.64,4.77,59.89,20.3,46.6,,,,,,,AW82,2006,,,,,,,,,,,,,,,,,,,,,,,,Von der Pahlen E
Von der Pahlen H,33.46,-27.21,-128.04,231.96,16.7,16730,28.78,29.67,20.39,15,,3,2.077,9.89,791.1,0.96,8.79,,0.6,6.1,19.63,0.1,0.3,186.86,23.36,6.92,2.92,1.49,45.81,214.24,234.51,135.36,39.95,32.72,74.24,38.62,44.4,53.96,43.66,,76.07,,3.31,2.97,3.84,4.93,66.14,22.4,51.4,Eratosthenian,5,,GHM 2,,,AW82,2006,,,,,,,,,,,,,,,7.93,0.23,5.56,,,,,,,Von der Pahlen H
Von der Pahlen V,18.69,-23.78,-136.02,223.98,9.3,9345,16.07,18.08,11.83,5.44,,2.52,1.74,6.03,0,0.76,5.4,,0.19,2.27,5.48,0.07,0.21,121.44,15.18,4.5,1.9,0.97,13.69,80.67,88.45,34.76,22.24,18.54,38.8,19.07,21.48,25.37,23.52,,46.66,,0,1.81,0,2.6,9.84,3.3,7.6,,,,,,,AW82,2006,,,,,,,,,,,,,,,,,,,,,,,,Von der Pahlen V
Von Karman,186.35,-44.45,176.25,176.25,93.2,93175,160.26,127.7,101.5,0,,5.04,3.04,42.57,0,1.9,36.92,,0,0,0,0,0,665.9,83.24,24.66,10.4,5.33,490.44,1159.86,1263.06,2264.58,224.81,174.9,503.16,309.22,377.66,499.65,270.74,,321.56,,18.26,12.77,31.69,32.54,18244.59,6183.1,14182.1,pre-Nectarian,1,,GHM 1,,,IAU1970,1970,ol-noritic gabbro,22.7,12.3,19.1,45.9,1.2,0.6,59 ± 5,5 ± 3,23 ± 5,13 ± 5,11 ± 1,,,,,,,,,,,,Von Karman
Von Karman L,28.76,-47.83,177.9,177.9,14.4,14380,24.73,26.08,17.7,12.41,,2.87,1.984,8.69,557.67,0.9,7.74,,0.45,4.88,14.09,0.09,0.27,167.06,20.88,6.19,2.61,1.34,34.28,170.23,186.42,97.38,34.31,28.23,62.72,32.15,36.76,44.35,37.18,,67,,2.91,2.61,2.89,4.18,40.31,13.7,31.3,,,,,,,AW82,2006,,,,,,,,,,,,,,,,,,,,,,,,Von Karman L
Von Karman M,218.98,-49.44,174.95,174.95,109.5,109490,188.32,146.47,118.02,0,,5.29,3.09,48.82,0,2.03,42.26,,0,0,0,0,0,750.35,93.79,27.79,11.72,6,577.29,1280.54,1393.81,2779.82,264.43,204.73,602.28,375.98,461.81,615.86,321.37,,368.2,,21.53,14.65,37.96,38.86,30935.32,10483.9,24047.1,pre-Nectarian ,1,,GHM 1,,,AW82,2006,,,,,,,,,,,,,,,,,,,,,,,,Von Karman M
Von Karman R,25.75,-46.03,170.78,170.78,12.9,12875,22.15,23.75,15.96,10.81,,2.78,1.918,7.92,431.99,0.86,7.06,,0.36,4.1,11.06,0.09,0.26,153.94,19.24,5.7,2.41,1.23,27.45,142.42,156.01,75.76,30.7,25.34,55.45,28.12,32.03,38.43,33.06,,61.06,,0,2.37,0,3.7,28.07,9.5,21.8,,,,,,,AW82,2006,,,,,,,,,,,,,,,,,,,,,,,,Von Karman R
Von Neumann,74.83,40.28,153.25,153.25,37.4,37415,64.35,58.8,43.26,40.98,,3.83,2.775,19.6,5077.99,1.32,17.22,,0,16.81,114.41,0.17,0.52,338.99,42.37,12.56,5.3,2.71,166.56,565.85,617.89,606.67,89.78,71.79,182.03,102.39,121.09,153.15,102.69,,149.5,,6.55,5.88,11.54,11.94,921.28,312.2,716.1,Upper Imbrian,4,,GHM 2,,,IAU1970,1970,,,,,,,,,,,,,GNTA1,highland,,,,,,,,,,Von Neumann
Von Zeipel,83.41,42.19,-141.93,218.07,41.7,41705,71.73,64.48,47.88,46.93,,3.95,2.806,21.49,6525.15,1.38,18.86,,0,19.03,145.11,0.18,0.55,367.34,45.92,13.61,5.74,2.94,192.77,627.27,684.73,722.22,100.14,79.81,205.44,116.78,138.64,176.28,115.24,,163.76,,7.19,6.45,13.04,13.45,1314.22,445.4,1021.6,pre-Nectarian,1,,W&B09,,,IAU1970,1970,,,,,,,,,,,,,,,,,,,,,,,,Von Zeipel
Von Zeipel J,37.83,40.45,-139.73,220.27,18.9,18915,32.53,32.93,22.87,17.48,,3.12,2.156,10.98,1050.46,1.01,9.74,,0.77,7.23,25.69,0.11,0.33,204.63,25.58,7.58,3.2,1.64,57.28,255.13,279.16,174.73,45.2,36.89,85.12,44.81,51.74,63.27,49.75,,84.33,,3.67,3.29,4.7,5.64,98.84,33.5,76.8,,,,,,,AW82,2006,,,,,,,,,,,,,,,,,,,,,,,,Von Zeipel J
Wood,84.15,43.66,-121.83,238.17,42.1,42075,72.37,64.97,48.28,47.45,,3.96,2.808,21.66,6659.66,1.38,19,,0,19.22,147.95,0.19,0.56,369.75,46.22,13.69,5.78,2.96,195.03,632.39,690.3,732.36,101.03,80.5,207.47,118.03,140.17,178.31,116.33,,164.98,,7.24,6.5,13.17,13.58,1352.76,458.4,1051.5,Nectarian,2,Possibly pre-Nectarian ,PC,,,IAU1970,1970,,,,,,,,,,,,,,,,,,,,,3,CP        ,,Wood
Wood S,34,43.46,-124.01,235.99,17,17000,29.24,30.07,20.7,15.3,,3.02,2.087,10.02,820.91,0.96,8.9,,0.62,6.24,20.33,0.1,0.31,189.09,23.64,7,2.95,1.51,47.2,219.31,240.05,140.03,40.6,33.24,75.58,39.37,45.29,55.1,44.41,,77.1,,3.35,3.01,3.95,5.02,69.7,23.6,54.2,,,,,,,AW82,2006,,,,,,,,,,,,,,,,,,,,,,,,Wood S
Voskresenskiy,49.37,27.91,-88.12,271.88,24.7,24685,42.46,41.29,29.33,24.38,,3.38,2.338,13.76,1943.02,1.12,12.16,,1.3,10.22,46.02,0.13,0.39,249.19,31.15,9.23,3.89,1.99,89.83,359.95,393.54,293.64,59.09,47.84,114.52,61.86,72.1,89.34,66.01,,105.45,,4.6,4.13,6.91,7.56,236.23,80.1,183.6,Nectarian,2,Partly covered by Imbrian ejecta ,PC,,,IAU1970,1970,,,,,,,,,,,,,,,,,,,,,,,,Voskresenskiy
Voskresenskiy K,36.08,28.74,-84.24,275.76,18,18040,31.03,31.63,21.88,16.48,,3.07,2.125,10.54,941.59,0.99,9.36,,0.7,6.77,23.16,0.11,0.32,197.58,24.7,7.32,3.09,1.58,52.62,238.79,261.33,158.54,43.1,35.22,80.75,42.31,48.77,59.5,47.31,,81.04,,3.52,3.16,4.36,5.36,84.65,28.7,65.8,,,,,,,AW82,2006,,,,,,,,,,,,,,,,,,,,,,,,Voskresenskiy K
Wreck,0.94,-9.07,15.46,15.46,0.5,470,0.78,0.79,0,0.03,,0.18,0.121,0.26,0.03,0.03,0.24,,0,0,0,0.01,0.03,18.8,2.35,0.7,0.29,0.15,0,0.02,0.03,0,0,1,1.39,0.56,0.58,0.61,0.47,,3.79,,0,0.08,0,0,0,0,0,,,Apollo 16,,,,IAU1973,,,,,,,,,,,,,,,,,,,,,,,,,Wreck
Wright,40.16,-31.55,-86.74,273.26,20.1,20080,34.54,34.64,24.18,18.84,,3.17,2.196,11.55,1205.98,1.03,10.24,,0.87,7.83,29.28,0.11,0.34,213.88,26.74,7.92,3.34,1.71,63.63,276.74,302.75,197.12,48,39.11,90.98,48.17,55.74,68.36,53.01,,88.67,,3.86,3.46,5.16,6.03,120.2,40.7,93.4,Eratosthenian,5,,GHM 2,,,RLA1963 IAU1964,1964,,,,,,,,,,,,,,,,,,,,,,,,Wright
Wright A,11.33,-32.82,-87.31,272.69,5.7,5665,9.4,9.52,0,2.25,,2.28,1.854,3.17,58.18,0.42,2.99,,0,0,0,0.05,0.15,226.6,28.33,8.39,3.54,1.81,10.72,28.5,31.3,8.84,13.44,11.37,22.21,13.82,16.03,19.74,10.54,,30.65,,0,0.95,0,1.13,0.83,0.3,0.6,,,,,,,RLA1963?,2006,,,,,,,,,,,,,,,,,,,,,,,,Wright A
Wroblewski,21.78,-24,152.8,152.8,10.9,10890,18.73,20.6,13.65,8.77,,2.64,1.823,6.87,293.42,0.81,6.14,,0.26,3.07,7.67,0.08,0.23,136,17,5.04,2.12,1.09,19.27,106.84,117.1,50.91,25.94,21.52,46.01,22.96,25.99,30.93,27.67,,53.05,,0,2.06,0,3.08,16.23,5.5,12.6,,,,,,,IAU1976,1976,,,,,,,,,,,,,,,,,,,,,,,,Wroblewski
Wrottesley,58.38,-23.9,56.62,56.62,29.2,29190,50.21,47.61,34.31,30.05,,3.55,2.707,15.87,2861.85,1.2,13.99,,0,12.55,66.43,0.15,0.44,282.1,35.26,10.45,4.41,2.26,116.57,437.03,477.58,398.04,69.94,56.34,138.04,75.79,88.86,111.02,78.88,,121.38,,5.31,4.76,8.58,9.09,408.87,138.6,317.8,Upper Imbrian,4,,GHM 2,,,VL1645  NLF,1935,,,,,,,,,,,,,,,,,,,,,,,,Wrottesley
Wrottesley A,9.43,-23.57,54.93,54.93,4.7,4715,7.83,7.92,0,1.63,,1.89,1.56,2.64,33.54,0.35,2.48,,0,0,0,0.04,0.13,188.6,23.58,6.99,2.95,1.51,6.2,18.62,20.46,5.12,11.17,9.51,18.1,10.91,12.55,15.27,8.38,,26.28,,0,0.79,0,0.89,0.41,0.1,0.3,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Wrottesley A
Wrottesley B,7.81,-24.97,56.87,56.87,3.9,3905,6.48,6.56,0,1.17,,1.56,1.306,2.19,19.06,0.29,2.05,,0,0,0,0.04,0.12,156.2,19.53,5.79,2.44,1.25,3.46,11.75,12.92,2.85,9.24,7.91,14.67,8.56,9.76,11.72,6.62,,22.43,,0,0.66,0,0.7,0.2,0.1,0.2,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Wrottesley B
Wurzelbauer,86.77,-34.04,-16.06,343.94,43.4,43385,74.62,66.68,49.68,49.3,,4,2.817,22.23,7148.43,1.4,19.49,,0,19.9,158.22,0.19,0.57,378.23,47.28,14.01,5.91,3.03,203.01,650.32,709.81,768.45,104.2,82.95,214.68,122.5,145.63,185.54,120.18,,169.28,,7.43,6.67,13.62,14.05,1495.53,506.8,1162.5,pre-Nectarian,1,,W&B09,,,S1791,1935,,,,,,,,,,,,,,,,,,,,,,,,Wurzelbauer
Wurzelbauer A,16.25,-35.76,-15.42,344.58,8.1,8125,13.49,16.06,10.38,4.25,2.47,2.42,2.603,5.35,0,0.61,4.31,,0,0,0,0.06,0.19,109.5,13.69,4.06,1.71,0.88,9.86,61.44,67.4,24.15,19.32,16.17,33.2,16.1,18.04,21.16,20.27,,41.49,,0,1.61,0,2.23,6.22,2.1,4.8,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Wurzelbauer A
Wurzelbauer B,23.86,-34.91,-14.54,345.46,11.9,11930,20.52,22.26,14.87,9.83,2.36,2.71,1.874,7.42,362.24,0.84,6.62,,0.31,3.61,9.36,0.08,0.24,145.49,18.19,5.39,2.27,1.16,23.42,125.27,137.26,63.38,28.43,23.53,50.93,25.64,29.12,34.82,30.49,,57.28,,0,2.23,0,3.4,21.87,7.4,17,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Wurzelbauer B
Wurzelbauer C,9.61,-35.04,-15.1,344.9,4.8,4805,7.98,8.07,0,1.68,1.59,1.93,1.588,2.69,35.5,0.36,2.53,,0,0,0,0.04,0.13,192.2,24.03,7.12,3,1.54,6.57,19.47,21.4,5.42,11.39,9.68,18.49,11.18,12.87,15.67,8.58,,26.7,,0,0.81,0,0.92,0.44,0.1,0.3,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Wurzelbauer C
Wurzelbauer D,38.83,-36.36,-17.7,342.3,19.4,19415,33.39,33.67,23.43,18.06,3.21,3.14,2.173,11.22,1115.72,1.02,9.95,,0.81,7.49,27.2,0.11,0.33,208.62,26.08,7.73,3.26,1.67,59.99,264.42,289.31,184.23,46.4,37.84,87.63,46.25,53.45,65.45,51.15,,86.2,,3.75,3.37,4.9,5.81,107.65,36.5,83.7,Nectarian,2,,PC,,,VL1645  NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Wurzelbauer D
Wurzelbauer E,10.74,-35.7,-17.24,342.76,5.4,5370,8.91,9.02,0,2.05,2.1,2.16,1.763,3.01,49.55,0.4,2.83,,0,0,0,0.05,0.14,214.8,26.85,7.96,3.36,1.72,9.16,25.24,27.72,7.56,12.74,10.79,20.93,12.9,14.93,18.31,9.86,,29.31,,0,0.9,0,1.06,0.68,0.2,0.5,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Wurzelbauer E
Wurzelbauer F,9.02,-35.95,-18.25,341.75,4.5,4510,7.49,7.58,0,1.5,,1.81,1.496,2.53,29.35,0.33,2.37,,0,0,0,0.04,0.13,180.4,22.55,6.68,2.82,1.44,5.42,16.74,18.39,4.47,10.69,9.1,17.23,10.31,11.83,14.34,7.93,,25.31,,0,0.76,0,0.84,0.35,0.1,0.3,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Wurzelbauer F
Wurzelbauer G,10.71,-34.62,-18.63,341.37,5.4,5355,8.89,9,0,2.04,,2.15,1.758,3,49.14,0.4,2.83,,0,0,0,0.05,0.14,214.2,26.78,7.93,3.35,1.71,9.09,25.08,27.54,7.5,12.7,10.77,20.86,12.85,14.87,18.24,9.83,,29.24,,0,0.9,0,1.05,0.67,0.2,0.5,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Wurzelbauer G
Wurzelbauer H,6.03,-35.3,-17.29,342.71,3,3015,5,5.07,0,0.74,0.83,1.2,1.024,1.69,8.77,0.22,1.58,,0,0,0,0.03,0.1,120.6,15.08,4.47,1.88,0.96,1.5,6.04,6.64,1.24,7.13,6.15,11,6.14,6.91,8.16,4.79,,18.05,,0,0.51,0,0.5,0.07,0,0.1,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Wurzelbauer H
