1. Crater name ,2. Diameter [km],3. Latitude [°],4. Longitude [°],5. East longitude [°],6. Radius [km],7. Radius [m],8. Apparent diameter [km],9. Transient cavity diameter [km],10. Transient cavity diameter [km],11. Floor diameter [km],12. Measured rim to floor depth [km],13. Rim to floor depth [km],14. Apparent depth [km],15. Transient cavity depth [km] ,16. Interior volume [km^3],17. Rim height [km],18. Rim flank width [km],19. Measured height of central peak [km],20. Height of central peak [km],21. Diameter of central peak [km],22. Basal area of central peak [km^2],23. Maximum diameter of ejecta blocks [km],24. Maximum diameter of ejecta blocks [km] ,25. Thickness of ejecta in the distance equal to one radius [m] ,26. Thickness of ejecta in the distance equal to two radii [m],27. Thickness of ejecta in the distance equal to three radii [m],28. Thickness of ejecta in the distance equal to four radii [m],29. Thickness of ejecta in the distance equal to five radii [m],"30. Thickness of ejecta in the distance of 10,000 m outside the rim [m]","31. Thickness of ejecta in the distance of 10,000 m outside the rim [m]","32. Thickness of ejecta in the distance of 10,000 m outside the rim [m]","33. Thickness of ejecta in the distance of 10,000 m outside the rim [m]",34. Radial distance of continuous ejecta [km],35. Radial distance of continuous ejecta [km],36. Radius of ejecta blanket thicker than 10 m [km],37. Radius of ejecta blanket thicker than 10 m [km] minimum,38. Radius of ejecta blanket thicker than 10 m [km] best estimate,39. Radius of ejecta blanket thicker than 10 m [km] maximum,40. Radius of radar-bright halo [km],41. Measured radius of radar-bright halo [km],42. Radius of radar-dark halo [km],43. Measured radius of radar-dark halo [km],44. Depth of excavation [km],45. Depth of excavation [km],46. Depth of melting [km],47. Depth of melting [km],48. Melt volume [km^3] ,"49. Melt volume, 45° on basalt [km^3] ","50. Melt volume, 45° on anorthosite [km^3] ",51. Age,52. Age class,53. Remarks,54. Age - source ,55. Age - other sources,56. Basin age group,"57. Citation for first mention, citation for nomenclature from ",58. Approval,59. Peak lithology,60. Ol [vol.-%],61. Opx [vol.-%],62. Cpx [vol.-%],63. Plg [vol.-%],64. Mafics/Plg,65. Opx/Cpx,66. Plg [wt.-%],67. Ol [wt.-%],68. Opx [wt.-%],69. Cpx [wt.-%],70. FeO [wt.-%],71. Peak lithologies,72. Setting,73. Average CF [?m],74. Average OMAT,75. Average FeO [wt.-%],76. OMAT range,77. Plg abundance class,78. Province,79. Peak degradation,80. PAN location,81. Rays,1. Crater name 
Abulfeda,62.23,-13.87,13.91,13.91,31.1,31115,53.52,50.27,36.42,32.55,1.23,3.62,2.725,16.76,3316.78,1.23,14.76,,0,13.55,76.4,0.15,0.46,295.75,36.97,10.95,4.62,2.37,128.18,468.55,511.92,445.03,74.58,59.96,148.22,81.89,96.22,120.6,84.42,,128.07,,5.6,5.03,9.29,9.75,503.9,170.8,391.7,Nectarian,2,Partly covered by Imbrian ejecta; typical ,GHM 1 PC,,,VL1645  R1651,1935,,,,,,,,,,,,,,,,,,,,,,,,Abulfeda
Abulfeda A,13.26,-16.43,10.75,10.75,6.6,6630,11.01,11.14,0,2.97,2.76,2.67,2.15,3.71,0,0.49,3.51,,0,0,0,0.05,0.16,265.2,33.15,9.82,4.14,2.12,16.8,40.31,44.25,13.86,15.74,13.26,26.47,16.91,19.77,24.6,12.83,,34.98,,0,1.11,0,1.39,1.52,0.5,1.2,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Abulfeda A
Abulfeda B,15.49,-14.51,16.37,16.37,7.7,7745,12.86,15.42,9.93,3.91,,2.38,2.488,5.14,0,0.58,4.1,,0,0,0,0.06,0.18,105.68,13.21,3.91,1.65,0.85,8.79,55.79,61.21,21.25,18.41,15.43,31.47,15.19,17,19.89,19.26,,39.85,,0,1.54,0,2.12,5.32,1.8,4.1,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Abulfeda B
Abulfeda BA,13.99,-14.69,16.8,16.8,7,6995,11.61,11.75,0,3.26,,2.82,2.261,3.92,0,0.52,3.7,,0,0,0,0.06,0.17,279.8,34.98,10.36,4.37,2.24,19.51,45.18,49.58,16.1,16.62,13.97,28.09,18.12,21.24,26.52,13.72,,36.59,,0,1.18,0,1.49,1.87,0.6,1.5,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Abulfeda BA
Abulfeda C,16.43,-12.79,10.83,10.83,8.2,8215,13.64,16.21,10.49,4.33,,2.42,2.63,5.4,0,0.62,4.35,,0,0,0,0.06,0.19,110.39,13.8,4.09,1.72,0.88,10.13,62.81,68.9,24.87,19.53,16.35,33.61,16.32,18.29,21.47,20.51,,41.88,,0,1.62,0,2.26,6.45,2.2,5,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Abulfeda C
Abulfeda D,19.68,-13.25,9.46,9.46,9.8,9840,16.92,18.89,12.42,5.96,,2.56,1.768,6.3,232.15,0.77,5.64,,0.21,2.53,6.14,0.07,0.21,126.17,15.77,4.67,1.97,1.01,15.39,88.86,97.42,39.62,23.42,19.49,41.09,20.3,22.91,27.13,24.84,,48.73,,0,1.89,0,2.75,11.65,3.9,9.1,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Abulfeda D
Abulfeda E,5.55,-16.76,10.14,10.14,2.8,2775,4.61,4.66,0,0.64,,1.11,0.947,1.55,6.84,0.2,1.45,,0,0,0,0.03,0.09,111,13.88,4.11,1.73,0.89,1.14,4.84,5.32,0.94,6.56,5.67,10.03,5.52,6.19,7.27,4.32,,16.84,,0,0.47,0,0.45,0.05,0,0,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,rays,Abulfeda E
Abulfeda F,17.47,-16.19,13.07,13.07,8.7,8735,14.5,17.08,11.11,4.83,,2.47,2.786,5.69,0,0.74,5.1,,0.17,1.95,4.73,0.07,0.2,115.52,14.44,4.28,1.81,0.92,11.71,70.87,77.72,29.21,20.78,17.35,35.99,17.57,19.75,23.24,21.89,,44.09,,0,1.71,0,2.41,7.89,2.7,6.1,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Abulfeda F
Abulfeda G,6.31,-13.1,8.94,8.94,3.2,3155,5.24,5.3,0,0.8,,1.26,1.069,1.77,10.05,0.23,1.65,,0,0,0,0.03,0.1,126.2,15.78,4.67,1.97,1.01,1.74,6.8,7.48,1.44,7.46,6.42,11.57,6.51,7.35,8.7,5.07,,18.75,,0,0.53,0,0.53,0.09,0,0.1,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Abulfeda G
Abulfeda H,4.22,-13.84,9.56,9.56,2.1,2110,3.5,3.54,0,0.39,,0.84,0.732,1.18,3.01,0.16,1.1,,0,0,0,0.03,0.08,84.4,10.55,3.13,1.32,0.68,0.45,2.27,2.5,0.37,4.98,4.34,7.39,3.88,4.3,4.95,3.07,,13.38,,0,0.35,0,0.32,0.02,0,0,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Abulfeda H
